fecha_diagnostico,residencia_provincia_nombre,lat,lng,Casos
2020-03-27,Buenos Aires,-36.15722,-60.56972,25
2020-03-27,CABA,-34.58591,-58.38171,23
2020-03-27,Chaco,-27.45138,-58.98666,4
2020-03-27,Córdoba,-32,-64,1
2020-03-27,Corrientes,-28.6666,-57.6333,10
2020-03-27,Mendoza,-32.89027,-68.84722,1
2020-03-27,Misiones,-26.91666,-54.51666,1
2020-03-27,Neuquén,-38.95166,-68.07444,2
2020-03-27,Santa Fe,-33.72277,-62.24611,8
2020-03-27,Santiago del Estero,-27.78333,-64.26666,1
2020-03-27,Tierra del Fuego,-54.36194,-67.63805,4
2020-03-27,Tucumán,-27,-65.5,1
2020-03-28,Buenos Aires,-36.15722,-60.56972,12
2020-03-28,CABA,-34.58591,-58.38171,23
2020-03-28,Chaco,-27.45138,-58.98666,5
2020-03-28,Córdoba,-32,-64,3
2020-03-28,Corrientes,-28.6666,-57.6333,2
2020-03-28,Mendoza,-32.89027,-68.84722,1
2020-03-28,Neuquén,-38.95166,-68.07444,2
2020-03-28,San Juan,-30.86666,-68.98333,1
2020-03-28,Santa Fe,-33.72277,-62.24611,14
2020-03-28,Tierra del Fuego,-54.36194,-67.63805,4
2020-03-28,Tucumán,-27,-65.5,1
2020-03-29,Buenos Aires,-36.15722,-60.56972,20
2020-03-29,CABA,-34.58591,-58.38171,20
2020-03-29,Chaco,-27.45138,-58.98666,13
2020-03-29,Córdoba,-32,-64,17
2020-03-29,La Pampa,-36.61666,-64.28333,2
2020-03-29,La Rioja,-29.1,-66.85,1
2020-03-29,Mendoza,-32.89027,-68.84722,1
2020-03-29,Misiones,-26.91666,-54.51666,1
2020-03-29,Neuquén,-38.95166,-68.07444,5
2020-03-29,Santa Fe,-33.72277,-62.24611,25
2020-03-29,Tierra del Fuego,-54.36194,-67.63805,5
2020-03-30,Buenos Aires,-36.15722,-60.56972,22
2020-03-30,CABA,-34.58591,-58.38171,16
2020-03-30,Chaco,-27.45138,-58.98666,3
2020-03-30,Córdoba,-32,-64,9
2020-03-30,Corrientes,-28.6666,-57.6333,4
2020-03-30,Entre Ríos,-32.04777,-60.2811,3
2020-03-30,Neuquén,-38.95166,-68.07444,4
2020-03-30,Santa Fe,-33.72277,-62.24611,11
2020-03-30,Tierra del Fuego,-54.36194,-67.63805,12
2020-03-31,Buenos Aires,-36.15722,-60.56972,21
2020-03-31,CABA,-34.58591,-58.38171,26
2020-03-31,Chaco,-27.45138,-58.98666,4
2020-03-31,Córdoba,-32,-64,5
2020-03-31,Mendoza,-32.89027,-68.84722,2
2020-03-31,Misiones,-26.91666,-54.51666,1
2020-03-31,Neuquén,-38.95166,-68.07444,4
2020-03-31,Río Negro,-40.8,-63,1
2020-03-31,San Luis,-33.3,-66.35,1
2020-03-31,Santa Fe,-33.72277,-62.24611,22
2020-03-31,Tierra del Fuego,-54.36194,-67.63805,1
2020-03-31,Tucumán,-27,-65.5,2
2020-04-01,Buenos Aires,-36.15722,-60.56972,29
2020-04-01,CABA,-34.58591,-58.38171,20
2020-04-01,Chaco,-27.45138,-58.98666,8
2020-04-01,Córdoba,-32,-64,16
2020-04-01,Corrientes,-28.6666,-57.6333,3
2020-04-01,Entre Ríos,-32.04777,-60.2811,2
2020-04-01,La Rioja,-29.1,-66.85,3
2020-04-01,Mendoza,-32.89027,-68.84722,9
2020-04-01,Neuquén,-38.95166,-68.07444,3
2020-04-01,Salta,-24.78333,-65.41666,2
2020-04-01,San Luis,-33.3,-66.35,1
2020-04-01,Santa Cruz,-48.8238,-69.815,11
2020-04-01,Santa Fe,-33.72277,-62.24611,10
