fecha_fallecimiento,residencia_provincia_nombre,lat,lng,Casos
2020-04-29,Río Negro,-40.8,-63,1
2020-04-30,Buenos Aires,-36.15722,-60.56972,6
2020-04-30,CABA,-34.58591,-58.38171,3
2020-05-01,Buenos Aires,-36.15722,-60.56972,7
2020-05-01,CABA,-34.58591,-58.38171,8
2020-05-01,Chaco,-27.45138,-58.98666,3
2020-05-01,Córdoba,-32,-64,2
2020-05-02,Buenos Aires,-36.15722,-60.56972,1
2020-05-02,CABA,-34.58591,-58.38171,4
2020-05-02,Chaco,-27.45138,-58.98666,2
2020-05-02,Córdoba,-32,-64,3
2020-05-03,Buenos Aires,-36.15722,-60.56972,6
2020-05-03,CABA,-34.58591,-58.38171,1
2020-05-03,Río Negro,-40.8,-63,1
2020-05-04,Buenos Aires,-36.15722,-60.56972,2
2020-05-04,CABA,-34.58591,-58.38171,3
2020-05-04,Córdoba,-32,-64,2
2020-05-05,Buenos Aires,-36.15722,-60.56972,2
2020-05-05,CABA,-34.58591,-58.38171,2
2020-05-05,Chaco,-27.45138,-58.98666,1
2020-05-06,Buenos Aires,-36.15722,-60.56972,7
2020-05-06,CABA,-34.58591,-58.38171,1
2020-05-06,Río Negro,-40.8,-63,1
2020-05-07,Buenos Aires,-36.15722,-60.56972,7
2020-05-07,CABA,-34.58591,-58.38171,2
2020-05-07,Santa Fe,-33.72277,-62.24611,1
2020-05-08,Buenos Aires,-36.15722,-60.56972,3
2020-05-08,CABA,-34.58591,-58.38171,3
2020-05-08,La Rioja,-29.1,-66.85,1
2020-05-09,Buenos Aires,-36.15722,-60.56972,3
2020-05-09,CABA,-34.58591,-58.38171,4
2020-05-10,Buenos Aires,-36.15722,-60.56972,4
2020-05-10,CABA,-34.58591,-58.38171,3
2020-05-10,Chaco,-27.45138,-58.98666,1
2020-05-10,Río Negro,-40.8,-63,1
2020-05-11,Buenos Aires,-36.15722,-60.56972,5
2020-05-11,CABA,-34.58591,-58.38171,5
2020-05-11,Chaco,-27.45138,-58.98666,2
2020-05-11,Córdoba,-32,-64,1
2020-05-12,Buenos Aires,-36.15722,-60.56972,2
2020-05-12,CABA,-34.58591,-58.38171,3
2020-05-13,Buenos Aires,-36.15722,-60.56972,5
2020-05-13,CABA,-34.58591,-58.38171,5
2020-05-13,Chaco,-27.45138,-58.98666,1
2020-05-13,Río Negro,-40.8,-63,1
2020-05-14,Buenos Aires,-36.15722,-60.56972,6
2020-05-14,Chaco,-27.45138,-58.98666,1
2020-05-14,Córdoba,-32,-64,2
2020-05-15,Buenos Aires,-36.15722,-60.56972,6
2020-05-15,CABA,-34.58591,-58.38171,5
2020-05-15,Chaco,-27.45138,-58.98666,3
